date,kpi,value,kpiGroup
2026-03-31,1st Line Resolution Rate %,73,Tiered Support
2026-03-31,CC (TPJ) FRT breached (actionable),11,
2026-03-31,CC (TPJ) FRT breached (not actionable),0,
2026-03-31,CC (TPJ) over SLA (actionable),2,SLA_Actionable
2026-03-31,CC (TPJ) over SLA (not actionable),0,SLA_Backlog
2026-03-31,CC Incidents FRT breached (actionable),2,
2026-03-31,CC Incidents FRT breached (not actionable),0,
2026-03-31,CC Incidents over SLA (actionable),1,SLA_Actionable
2026-03-31,CC Incidents over SLA (not actionable),0,SLA_Backlog
2026-03-31,CC Service Requests FRT breached (actionable),7,
2026-03-31,CC Service Requests FRT breached (not actionable),0,
2026-03-31,CC Service Requests over SLA (actionable),1,SLA_Actionable
2026-03-31,CC Service Requests over SLA (not actionable),0,SLA_Backlog
2026-03-31,CSAT %,20,Quality
2026-03-31,Development FRT breached (actionable),78,
2026-03-31,Development FRT breached (not actionable),7,
2026-03-31,Development over SLA (actionable),18,SLA_Actionable
2026-03-31,Development over SLA (not actionable),2,SLA_Backlog
2026-03-31,Escalation Accuracy %,97,Escalations
2026-03-31,FCR Rate %,59,Customer Satisfaction
2026-03-31,FRT Breached (All),113,SLA_Raw
2026-03-31,FRT Breached (Customer Care),109,SLA_Raw
2026-03-31,FRT Breached (Development),3,SLA_Raw
2026-03-31,FRT Breached (Production),1,SLA_Raw
2026-03-31,FRT Breached (Tier 2),0,SLA_Raw
2026-03-31,FRT Breached (Tier 3),0,SLA_Raw
2026-03-31,FRT Breaches (Resolved Today),113,SLA_Breaches
2026-03-31,FRT Compliance % (Customer Care),59,SLA_Compliance
2026-03-31,FRT Compliance % (Development),81,SLA_Compliance
2026-03-31,FRT Compliance % (Open Queue),67,SLA_Compliance
2026-03-31,FRT Compliance % (Production),96,SLA_Compliance
2026-03-31,FRT Compliance % (Resolved Today),64,SLA_Compliance
2026-03-31,FRT Compliance % (Tier 2),100,SLA_Compliance
2026-03-31,FRT Met (All),202,SLA_Raw
2026-03-31,FRT Met (Customer Care),159,SLA_Raw
2026-03-31,FRT Met (Development),13,SLA_Raw
2026-03-31,FRT Met (Production),22,SLA_Raw
2026-03-31,FRT Met (Tier 2),8,SLA_Raw
2026-03-31,FRT Met (Tier 3),0,SLA_Raw
